Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1946,2.4,2.77,3.87,3.14,6.67,3.31,5.6,4.83,3.94,3.21,1.45,2.45,43.64
1947,4.92,M,2.83,3.23,3.7,7.2,4.63,2.19,3.11,2.6,5.53,1.09,M
1948,3.65,2.28,4.85,5.77,6.87,7.53,7.45,9.47,3.77,4.09,6.43,7.56,M
1949,5.22,1.6,2.74,2.54,4.68,2.92,4.5,10.65,3.21,2.79,0.91,2.16,43.92
1950,1.31,2.81,3.04,1.39,5.42,2.12,5.64,1.19,10.57,3.31,1.61,4.46,M
1951,1.64,3.4,4.62,4.84,2.09,7.19,3.91,2.26,1.55,1.63,4.92,5.44,43.49
1952,5.03,3.21,6.55,6,5.49,2.65,4.47,3.69,3.96,1.44,6.35,2.6,51.44
1953,4.5,3.02,6.42,3.27,4.48,4.31,0.76,2.5,1.06,1.64,1.78,4.45,38.19
1954,2.79,1.28,5.85,2.24,4.53,2.44,3.19,2.55,0.63,7.32,3.8,5.34,41.96
1955,0.57,3.79,5.2,5.04,2.56,5.39,2.98,11.68,1.92,1.63,1.63,0.36,42.75
1956,1.2,4.06,2.71,2.46,2.22,2.36,8.9,2.46,5.75,5.29,2.82,2.18,42.41
1957,2.43,3.98,2.38,4.63,3.33,3.45,2.32,1.35,7.15,3.6,4.07,3.96,42.65
1958,4.27,3.47,5.14,3.55,3.33,3.25,6.56,4.28,1.85,1.54,1.61,2.75,41.6
1959,1.88,0.99,3.52,3.72,2.34,4.84,6.11,6.49,4.25,7.16,2.73,3.37,47.4
1960,2.18,5.05,3.22,3.64,4.71,2.34,4.81,4.69,5.56,1.22,0.8,1.39,39.61
1961,2.29,4.99,3.12,5.19,M,2.72,4.58,10.85,2.5,7.08,M,M,M
1962,M,M,M,M,M,M,M,M,3.06,1.39,4.22,M,M
1963,M,1.62,M,1.11,1.79,2.13,3.52,1.76,2.72,0.03,5.84,0.46,M
1964,M,M,1.94,3.63,1.4,2.36,4.5,2.32,2.92,2.48,3.06,2.97,M
1965,3.14,4.85,3.7,2.66,3.25,1.56,3.2,2.54,2.24,2.88,0.65,0.13,30.8
1966,3.5,5.28,0.62,2.5,4.42,1.4,2.16,0.67,7.96,4.5,2.01,3.23,38.25
1967,1.44,1.58,5.32,0.89,3.41,1,5.73,6.82,1.07,2.89,1.57,6.15,37.87
1968,2.53,0.3,2.84,1.55,3.62,3.42,5.7,3.19,2.84,2.7,3.53,1.58,33.8
1969,1.75,1.91,2.97,1.34,2.33,4.49,8.2,5.6,M,1.32,1.65,5.6,M
1970,1.33,2.33,2.07,3.15,2.76,0.9,9.46,3.41,1.69,5.45,3.99,2.41,M
1971,0.85,4.22,2.29,1.75,8.79,4.35,5.91,5.5,3,7.91,2.27,0.67,47.51
1972,1.28,5.03,1.71,3.14,6.55,9.35,4.58,1.19,2.14,12.04,6.82,4.6,58.43
1973,3.33,3.03,4.03,5.21,4.55,3.3,2.7,4.85,1.73,6.14,0.94,6.32,46.13
1974,2.82,1.03,3,1.79,6.88,4.42,2,5.46,5.38,1.54,2.02,4.5,40.84
1975,2.95,2.22,7.29,2,3.81,4.51,8.66,6.05,10.18,3.57,2.1,3.81,57.15
1976,3.08,1.3,2.62,0.24,4.93,3.39,3.77,1.71,4.24,12.52,1.44,2.18,41.42
1977,0.85,0.56,2.31,2.13,1.57,2.05,M,M,M,3.01,7.5,3.07,M
1978,9.01,0.24,3.85,2.64,6.18,3.51,4.34,3.68,1.12,0.46,2.35,3.6,40.98
1979,5.89,4.48,3.59,2.71,4.02,5.16,2.86,6.45,9.54,4.59,2.88,0.61,52.78
1980,M,0.92,4.61,4.08,2.22,0.31,5.74,M,1.09,1.5,2.48,0.31,M
1981,0.08,3.89,0.74,1.71,2.6,2.05,7.86,2.97,3.37,2.74,0.3,2.27,30.58
1982,2.5,4.29,3.19,2.19,5.84,5.01,3.79,2.11,0.1,2.26,1.98,1.97,35.23
1983,1,2.13,3.04,8.67,3.59,3.65,2.14,4.17,2.93,5.53,4.32,4.16,45.33
1984,1,5.33,4.68,5.55,3.45,0.45,3.7,6.51,1.13,2.27,2.18,0.29,36.54
1985,1.41,2.73,1.13,0.55,4.52,2.4,3.73,5.5,0.77,4.32,9.57,0.23,36.86
1986,0.7,1.59,1.19,2,1.37,1.48,3.62,3.06,1.83,1.2,3.85,4.12,26.01
1987,2.43,1.36,1.65,6.71,2.06,3.83,1.51,0.69,8.96,0.12,1.97,0.76,32.05
1988,1.02,0.61,0.83,0.79,3.33,1.08,1.21,1.23,0.65,0.79,2.68,0.68,14.9
1989,1.11,1.42,2.17,0.9,5,4.77,3.62,M,3.55,3.87,2.17,0.98,M
1990,2.25,1.62,2.07,3.4,M,M,M,3.32,1.61,6.6,2.71,3,M
1991,3.13,0.79,3.88,1.6,2.13,1.45,9.1,1.83,0.48,0.73,3.45,3.32,31.89
1992,1.76,1.81,2.61,4.4,3.94,3.64,3.97,3.72,5.52,2.77,7.14,4.72,46
1993,3.63,2.4,5.72,4.15,3.22,1.85,3.28,2.23,1.69,1.89,5.28,2.43,M
1994,3.74,3.69,M,M,1.3,2.72,M,3.55,3.16,1.49,2.34,1.03,M
1995,3.77,0.88,2.81,1.3,5.82,6.62,6.82,0.94,1.31,5.13,4.11,1.54,41.05
1996,5.21,2.14,2.71,2.91,3.45,3.9,4.55,3.39,12.67,2.58,2.51,3.67,49.69
1997,2.09,1.4,4.91,1.21,0.75,2.43,8.12,1.15,2.87,1.34,4.59,1.54,32.4
1998,7.85,M,4.24,2.91,2.59,3.17,1.44,0.67,0.58,2.25,0.93,2.85,M
1999,5.21,2.31,4.31,1.33,2.76,0.71,3.44,3.98,11.15,1.65,2.46,2.87,42.18
2000,2.35,1.69,2.54,3.8,2.78,7.72,2.98,3.23,4.92,T,1.8,2.91,36.72
2001,1.92,1.01,4.34,0.95,2.94,5.29,3.38,1.26,2.76,1.49,0.78,2.14,28.26
2002,1.43,0.67,3.54,4.37,1.56,2.63,4.39,2,3.42,5.17,4.82,3.92,37.92
2003,2.62,7.29,4.81,4.61,7.03,6.16,6.9,6.13,10.41,3.32,4.89,4.51,68.68
2004,1.56,2.25,1.55,4.31,5.46,5.19,4.38,1.82,8.89,0.87,4.82,2.74,43.84
2005,3.99,1.8,3.74,3.38,2.47,1.64,4.4,4.36,0.7,7.36,3.99,2.74,40.57
2006,2.58,1.94,0.21,3.01,1.66,8.46,2.4,2.68,5.71,7.33,5.37,1.69,43.04
2007,2.29,2.63,1.57,2.27,2.49,4.47,0.89,4.54,0.54,3.01,0.34,1.6,26.64
2008,0.71,1.69,2.18,3.79,5.52,2.31,2.92,4.48,3.91,1.86,2.57,2.66,34.6
2009,1.73,0.7,2.33,3.05,6.96,4.14,2.43,3.59,4.22,2.34,6.6,7.66,45.75
2010,4.32,3.86,4.97,1.07,3.55,1.54,2.18,2.36,5.49,2.13,3.15,2.36,36.98
2011,0.94,1.69,6.3,5.23,6.01,2.04,2.87,3.62,7.58,5.57,3.13,4.36,49.34
2012,2.21,2.87,3.78,1.87,4.05,3.4,4.34,4.89,2.3,4.37,0.48,2.9,37.46
2013,5.32,1.47,5.51,3.02,4.33,7.05,3.7,6.12,0.64,3.52,2.87,5.91,49.46
2014,2.43,4.69,3.79,5.83,4.86,2.85,3.05,4.33,0.86,3.73,2.9,2.79,42.11
2015,1.91,1.88,3.88,4.67,1.82,8.23,4.01,2.43,6.87,5.91,2.82,3.83,48.26
2016,4.03,4.74,1.49,3.37,5.53,3.75,3,2.7,3.66,0.75,1.49,1.72,36.23
2017,2.82,0.64,2.91,2.8,8.78,2.77,3.84,3.18,1.95,3.89,0.95,0.35,34.88
2018,1.51,4.35,1.81,3.79,9.63,7.68,6.21,5.29,5.37,3.35,7.34,6.26,62.59
2019,2.74,3.7,3.96,2.85,4.19,3.81,4.05,2.65,0.44,7.51,1.1,2.54,39.54
2020,3.57,2.68,1.53,6.3,2.7,2.44,2.59,9.02,2.06,5.63,6.44,5.61,50.57
2021,2.04,5.24,2.01,2.64,0.91,3.28,2.52,7.26,2.59,4.25,0.82,0.26,33.82
2022,3.79,1.48,3.19,3.05,6.17,3.66,6.35,3.4,3.35,1.35,3.77,3.97,43.53
2023,1.64,2.13,1.05,4.2,1.68,M,3.77,0.86,2.28,0.58,3.18,4.36,M
2024,5.88,1.61,2.97,1.7,3.82,0.71,2.38,6.8,9.35,M,M,M,M
